,Data,TMAX,TMIN,PRCP
1062,200505,371,-9999,0
1063,200506,-9999,-9999,97
1064,200507,-9999,194,0
1065,200508,-9999,-9999,485
1066,200509,-9999,-9999,33
1067,200510,-9999,-9999,0
1068,200511,-9999,-9999,0
1069,200512,299,-9999,0
1070,200601,303,-9999,-9999
1071,200602,313,125,-9999
1072,200603,-9999,132,0
1073,200604,-9999,115,0
1074,200605,-9999,-9999,-9999
1075,200606,-9999,-9999,-9999
1076,200607,313,-9999,33
1077,200608,-9999,-9999,0
1078,200609,-9999,121,249
1079,200610,282,-9999,0
1080,200611,300,-9999,-9999
1081,200701,-9999,150,0
1082,200702,311,120,0
1083,200703,-9999,-9999,0
1084,200704,-9999,126,0
1085,200705,-9999,-9999,0
1086,200706,-9999,-9999,-9999
1087,200707,-9999,-9999,0
1088,200708,-9999,-9999,71
1089,200709,-9999,-9999,457
1090,200710,-9999,-9999,0
1091,200711,-9999,-9999,84
1092,200712,-9999,-9999,-9999
1093,200801,-9999,-9999,0
1094,200802,-9999,-9999,-9999
1095,200803,-9999,-9999,0
1096,200804,-9999,-9999,0
1097,200806,-9999,-9999,0
1098,200807,-9999,-9999,0
1099,200808,-9999,-9999,0
1100,200809,-9999,-9999,3
1101,200810,293,-9999,0
1102,200901,-9999,-9999,20
1103,200902,303,120,5
1104,200903,-9999,-9999,0
1105,200904,-9999,110,0
1106,200905,-9999,-9999,0
1107,200907,-9999,-9999,0
1108,200908,-9999,-9999,0
1109,200909,-9999,-9999,0
1110,200910,-9999,-9999,0
1111,200911,-9999,-9999,0
1112,200912,-9999,-9999,0
1113,201001,-9999,-9999,5
1114,201002,241,-9999,97
1115,201003,-9999,-9999,15
1116,201004,-9999,144,0
1117,201005,-9999,-9999,0
1118,201006,-9999,-9999,0
1119,201007,286,-9999,0
1120,201008,-9999,-9999,0
1121,201010,-9999,175,-9999
1122,201011,-9999,-9999,0
1123,201012,-9999,-9999,0
